Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Judo Women's Extra-Lightweight,Summer,F,Gold,173544.0,87200.0,25.0,154.0,48.0,2004.0
Judo Women's Half-Heavyweight,Summer,F,Gold,118809.0,60130.0,24.0,173.0,75.0,2004.0
Judo Women's Half-Lightweight,Summer,F,Gold,199320.0,100106.0,28.0,160.0,52.0,2004.0
Judo Women's Half-Middleweight,Summer,F,Gold,236287.0,118470.0,26.0,162.0,63.0,2004.0
Judo Women's Heavyweight,Summer,F,Gold,241654.0,121038.0,23.0,173.0,98.0,2004.0
Judo Women's Lightweight,Summer,F,Gold,81732.0,41499.0,24.0,165.5,58.0,2004.0
Judo Women's Middleweight,Summer,F,Gold,234762.0,117729.0,26.0,168.0,70.0,2004.0
Luge Mixed Team Relay,Winter,F,Gold,77588.0,39377.0,26.0,183.0,76.0,2014.0
Luge Women's Singles,Winter,F,Gold,174646.0,87756.5,24.5,170.0,67.0,1990.0
Modern Pentathlon Women's Individual,Summer,F,Gold,64957.0,33241.0,27.0,172.0,57.0,2008.0
Rhythmic Gymnastics Women's Group,Summer,F,Gold,133624.0,67271.0,18.0,174.0,51.0,2004.0
Rhythmic Gymnastics Women's Individual,Summer,F,Gold,112827.0,57156.0,20.0,168.0,43.0,2000.0
Rowing Women's Coxed Eights,Summer,F,Gold,141591.0,71034.0,26.0,180.0,76.0,1996.0
Rowing Women's Coxed Fours,Summer,F,Gold,137650.5,69172.0,22.0,179.0,76.5,1982.0
Rowing Women's Coxed Quadruple Sculls,Summer,F,Gold,190429.5,95647.0,22.0,176.0,66.5,1980.0
Rowing Women's Coxless Fours,Summer,F,Gold,199585.0,100134.0,27.5,176.0,73.5,1992.0
Rowing Women's Coxless Pairs,Summer,F,Gold,108789.5,55082.0,26.0,178.5,74.0,1996.0
Rowing Women's Double Sculls,Summer,F,Gold,105019.0,53194.0,26.0,179.0,75.5,1996.0
Rowing Women's Lightweight Double Sculls,Summer,F,Gold,189363.5,95104.0,28.5,174.0,57.5,2006.0
Rowing Women's Quadruple Sculls,Summer,F,Gold,144501.5,72523.0,24.5,183.0,76.0,2002.0
Rowing Women's Single Sculls,Summer,F,Gold,176315.0,88657.0,27.0,181.0,75.0,1996.0
Rugby Sevens Women's Rugby Sevens,Summer,F,Gold,133238.0,67204.0,23.5,169.0,66.5,2016.0
Sailing Mixed 1-2 Ton,Summer,F,Gold,51668.0,26559.0,32.0,,,1900.0
Sailing Mixed 6 metres,Summer,F,Gold,259853.0,130084.0,36.0,,,1952.0
Sailing Mixed 7 metres,Summer,F,Gold,232298.5,116430.5,30.0,,,1914.0
Sailing Mixed 8 metres,Summer,F,Gold,94652.0,47903.0,37.0,,,1928.0
Sailing Mixed Multihull,Summer,F,Gold,36011.0,18500.0,29.0,164.0,63.0,2016.0
Sailing Women's One Person Dinghy,Summer,F,Gold,204996.0,102930.0,24.0,169.0,65.0,2004.0
Sailing Women's Skiff,Summer,F,Gold,106140.5,53627.0,25.0,170.0,65.0,2016.0
Sailing Women's Three Person Keelboat,Summer,F,Gold,201874.0,101385.0,27.0,169.0,66.0,2008.0
Sailing Women's Two Person Dinghy,Summer,F,Gold,170884.0,85840.0,27.5,171.5,64.0,2002.0
Sailing Women's Windsurfer,Summer,F,Gold,157233.0,78947.0,26.0,169.0,57.0,2004.0
Shooting Mixed Skeet,Summer,F,Gold,268916.0,134542.0,24.0,163.0,57.0,1992.0
"Shooting Women's Air Pistol, 10 metres",Summer,F,Gold,123175.5,62220.0,25.5,162.5,61.5,2002.0
"Shooting Women's Air Rifle, 10 metres",Summer,F,Gold,218518.0,109755.0,22.0,164.0,54.5,2000.0
Shooting Women's Double Trap,Summer,F,Gold,199717.0,100315.0,25.0,163.0,82.0,2000.0
Shooting Women's Skeet,Summer,F,Gold,102108.0,51656.0,33.0,171.0,82.0,2008.0
