Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Judo Women's Half-Lightweight,Summer,F,Bronze,139691.0,70147.5,24.5,158.5,52.0,2004.0
Judo Women's Half-Middleweight,Summer,F,Bronze,245907.0,123136.0,27.0,165.0,63.0,2004.0
Judo Women's Heavyweight,Summer,F,Bronze,190723.0,95794.0,28.0,175.0,100.0,2004.0
Judo Women's Lightweight,Summer,F,Bronze,150175.0,75355.5,23.5,162.0,57.0,2004.0
Judo Women's Middleweight,Summer,F,Bronze,151767.0,76379.5,24.5,174.0,70.0,2004.0
Luge Mixed Team Relay,Winter,F,Bronze,240453.0,120492.0,23.0,170.0,72.0,2014.0
Luge Women's Singles,Winter,F,Bronze,113585.0,57351.5,23.0,172.0,67.0,1990.0
Modern Pentathlon Women's Individual,Summer,F,Bronze,150160.0,75310.0,26.0,177.0,60.0,2008.0
Rhythmic Gymnastics Women's Group,Summer,F,Bronze,146144.0,73336.0,18.0,172.0,51.0,2004.0
Rhythmic Gymnastics Women's Individual,Summer,F,Bronze,156537.5,78840.0,20.5,172.0,49.0,2002.0
Rowing Women's Coxed Eights,Summer,F,Bronze,141057.5,70833.5,25.0,180.0,73.0,1996.0
Rowing Women's Coxed Fours,Summer,F,Bronze,127838.0,64431.0,24.0,177.0,74.0,1984.0
Rowing Women's Coxed Quadruple Sculls,Summer,F,Bronze,122439.0,61887.0,23.0,170.0,67.0,1980.0
Rowing Women's Coxless Fours,Summer,F,Bronze,126530.0,63722.5,25.0,182.5,75.5,1992.0
Rowing Women's Coxless Pairs,Summer,F,Bronze,86945.0,44086.0,26.0,180.0,75.0,1996.0
Rowing Women's Double Sculls,Summer,F,Bronze,145894.0,73215.0,25.0,178.0,73.0,1996.0
Rowing Women's Lightweight Double Sculls,Summer,F,Bronze,116812.0,59066.5,27.5,173.0,59.0,2006.0
Rowing Women's Quadruple Sculls,Summer,F,Bronze,122089.0,61721.0,25.0,180.0,75.0,2000.0
Rowing Women's Single Sculls,Summer,F,Bronze,83053.0,42135.5,25.5,180.0,75.0,1996.0
