Event,Season,Sex,Medal,Age,Height,Weight,Year
Swimming Women's 4 x 100 metres Freestyle Relay,Summer,F,Silver,19.0,175.0,66.0,1988
Swimming Women's 4 x 100 metres Medley Relay,Summer,F,Silver,20.0,174.0,64.0,1992
Swimming Women's 4 x 200 metres Freestyle Relay,Summer,F,Silver,21.0,176.0,65.0,2008
Swimming Women's 400 metres Freestyle,Summer,F,Silver,18.5,174.0,61.5,1986
Swimming Women's 400 metres Individual Medley,Summer,F,Silver,19.0,169.0,63.0,1990
Swimming Women's 50 metres Freestyle,Summer,F,Silver,21.5,178.0,67.5,2002
Swimming Women's 800 metres Freestyle,Summer,F,Silver,18.0,175.0,63.0,1992
Synchronized Swimming Women's Duet,Summer,F,Silver,25.5,168.5,55.0,2002
Synchronized Swimming Women's Solo,Summer,F,Silver,22.0,166.0,55.5,1986
Synchronized Swimming Women's Team,Summer,F,Silver,24.0,170.0,56.0,2004
Table Tennis Women's Doubles,Summer,F,Silver,24.0,166.5,60.0,1996
Table Tennis Women's Singles,Summer,F,Silver,24.0,167.0,60.0,2002
Table Tennis Women's Team,Summer,F,Silver,26.0,163.0,55.0,2012
Taekwondo Women's Featherweight,Summer,F,Silver,24.0,175.0,57.0,2008
Taekwondo Women's Flyweight,Summer,F,Silver,22.0,166.0,49.0,2008
Taekwondo Women's Heavyweight,Summer,F,Silver,28.0,173.0,70.0,2008
Taekwondo Women's Welterweight,Summer,F,Silver,23.0,173.0,66.0,2008
Tennis Mixed Doubles,Summer,F,Silver,27.0,182.5,68.5,2014
Tennis Women's Doubles,Summer,F,Silver,27.0,170.0,61.0,2002
Tennis Women's Singles,Summer,F,Silver,23.5,175.0,64.0,2002
Trampolining Women's Individual,Summer,F,Silver,25.5,161.0,55.0,2010
Triathlon Women's Olympic Distance,Summer,F,Silver,29.0,169.0,55.0,2008
Volleyball Women's Volleyball,Summer,F,Silver,25.0,180.0,72.0,1988
Water Polo Women's Water Polo,Summer,F,Silver,24.0,175.0,72.0,2008
Weightlifting Women's Featherweight,Summer,F,Silver,23.0,153.0,53.0,2008
Weightlifting Women's Flyweight,Summer,F,Silver,21.0,149.0,48.0,2008
Weightlifting Women's Heavyweight,Summer,F,Silver,25.0,168.0,75.0,2008
Weightlifting Women's Light-Heavyweight,Summer,F,Silver,23.0,160.0,69.0,2008
Weightlifting Women's Lightweight,Summer,F,Silver,22.0,152.0,58.0,2008
Weightlifting Women's Middleweight,Summer,F,Silver,22.0,164.0,63.0,2008
Weightlifting Women's Super-Heavyweight,Summer,F,Silver,21.0,173.0,118.0,2008
"Wrestling Women's Featherweight, Freestyle",Summer,F,Silver,33.0,157.0,55.0,2016
"Wrestling Women's Flyweight, Freestyle",Summer,F,Silver,25.0,157.0,48.0,2010
"Wrestling Women's Heavyweight, Freestyle",Summer,F,Silver,27.5,168.5,73.5,2010
"Wrestling Women's Light-Heavyweight, Freestyle",Summer,F,Silver,25.0,174.0,69.0,2016
"Wrestling Women's Lightweight, Freestyle",Summer,F,Silver,24.5,165.0,55.0,2010
"Wrestling Women's Middleweight, Freestyle",Summer,F,Silver,23.5,165.5,63.0,2010
