Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
"Speed Skating Women's 3,000 metres",Winter,F,Silver,93882.5,47542.5,25.0,168.5,60.0,1986.0
"Speed Skating Women's 5,000 metres",Winter,F,Silver,177729.5,89316.5,27.0,169.0,64.0,2000.0
Speed Skating Women's 500 metres,Winter,F,Silver,142172.5,71512.5,25.5,168.0,63.5,1986.0
Speed Skating Women's Team Pursuit (6 laps),Winter,F,Silver,146082.0,73597.5,25.5,172.0,64.0,2010.0
Swimming Women's 10 kilometres Open Water,Summer,F,Silver,30644.0,15788.0,20.0,177.0,66.0,2012.0
Swimming Women's 100 metres Backstroke,Summer,F,Silver,106830.0,54086.5,18.0,174.0,64.0,1986.0
Swimming Women's 100 metres Breaststroke,Summer,F,Silver,193759.0,97259.0,19.0,173.0,62.0,1992.0
Swimming Women's 100 metres Butterfly,Summer,F,Silver,141970.5,71268.0,18.5,172.5,64.0,1986.0
Swimming Women's 100 metres Freestyle,Summer,F,Silver,184406.0,92674.0,16.0,175.0,67.0,1988.0
Swimming Women's 200 metres Backstroke,Summer,F,Silver,148921.0,74699.0,21.0,175.0,64.0,1992.0
Swimming Women's 200 metres Breaststroke,Summer,F,Silver,139344.0,69980.0,19.0,173.0,65.0,1988.0
Swimming Women's 200 metres Butterfly,Summer,F,Silver,188080.0,94483.0,20.0,172.0,63.0,1992.0
Swimming Women's 200 metres Freestyle,Summer,F,Silver,165045.0,82877.0,19.0,178.0,66.0,1992.0
Swimming Women's 200 metres Individual Medley,Summer,F,Silver,63525.0,32552.0,22.0,175.0,64.0,1996.0
Swimming Women's 4 x 100 metres Freestyle Relay,Summer,F,Silver,156942.5,78760.5,19.0,175.0,66.0,1988.0
Swimming Women's 4 x 100 metres Medley Relay,Summer,F,Silver,133056.0,66978.0,20.0,174.0,64.0,1992.0
Swimming Women's 4 x 200 metres Freestyle Relay,Summer,F,Silver,178852.0,89893.0,21.0,176.0,65.0,2008.0
Swimming Women's 400 metres Freestyle,Summer,F,Silver,88856.0,45042.0,18.5,174.0,61.5,1986.0
Swimming Women's 400 metres Individual Medley,Summer,F,Silver,105420.5,53231.5,19.0,169.0,63.0,1990.0
Swimming Women's 50 metres Freestyle,Summer,F,Silver,153196.0,76875.0,21.5,178.0,67.5,2002.0
Swimming Women's 800 metres Freestyle,Summer,F,Silver,91527.0,46393.0,18.0,175.0,63.0,1992.0
Synchronized Swimming Women's Duet,Summer,F,Silver,142269.0,71576.5,25.5,168.5,55.0,2002.0
Synchronized Swimming Women's Solo,Summer,F,Silver,230910.5,115745.0,22.0,166.0,55.5,1986.0
Synchronized Swimming Women's Team,Summer,F,Silver,132684.0,66780.0,24.0,170.0,56.0,2004.0
Table Tennis Women's Doubles,Summer,F,Silver,137797.5,69256.0,24.0,166.5,60.0,1996.0
Table Tennis Women's Singles,Summer,F,Silver,138126.0,69403.0,24.0,167.0,60.0,2002.0
Table Tennis Women's Team,Summer,F,Silver,103795.0,52519.0,26.0,163.0,55.0,2012.0
Taekwondo Women's Featherweight,Summer,F,Silver,99215.0,50204.0,24.0,175.0,57.0,2008.0
Taekwondo Women's Flyweight,Summer,F,Silver,156134.0,78410.0,22.0,166.0,49.0,2008.0
Taekwondo Women's Heavyweight,Summer,F,Silver,83168.0,42253.0,28.0,173.0,70.0,2008.0
Taekwondo Women's Welterweight,Summer,F,Silver,170670.0,85778.0,23.0,173.0,66.0,2008.0
Tennis Mixed Doubles,Summer,F,Silver,231622.5,116096.5,27.0,182.5,68.5,2014.0
Tennis Women's Doubles,Summer,F,Silver,164486.0,82615.0,27.0,170.0,61.0,2002.0
Tennis Women's Singles,Summer,F,Silver,180195.0,90429.5,23.5,175.0,64.0,2002.0
Trampolining Women's Individual,Summer,F,Silver,71542.5,36408.0,25.5,161.0,55.0,2010.0
Triathlon Women's Olympic Distance,Summer,F,Silver,110175.0,55707.0,29.0,169.0,55.0,2008.0
Volleyball Women's Volleyball,Summer,F,Silver,150075.5,75309.0,25.0,180.0,72.0,1988.0
Water Polo Women's Water Polo,Summer,F,Silver,149372.0,74980.0,24.0,175.0,72.0,2008.0
Weightlifting Women's Featherweight,Summer,F,Silver,137999.0,69345.0,23.0,153.0,53.0,2008.0
Weightlifting Women's Flyweight,Summer,F,Silver,160583.0,80571.0,21.0,149.0,48.0,2008.0
Weightlifting Women's Heavyweight,Summer,F,Silver,250698.0,125564.0,25.0,168.0,75.0,2008.0
Weightlifting Women's Light-Heavyweight,Summer,F,Silver,150007.0,75226.0,23.0,160.0,69.0,2008.0
Weightlifting Women's Lightweight,Summer,F,Silver,217288.0,109149.0,22.0,152.0,58.0,2008.0
Weightlifting Women's Middleweight,Summer,F,Silver,169393.0,85159.0,22.0,164.0,63.0,2008.0
Weightlifting Women's Super-Heavyweight,Summer,F,Silver,118778.0,60110.0,21.0,173.0,118.0,2008.0
"Wrestling Women's Featherweight, Freestyle",Summer,F,Silver,266103.0,133130.0,33.0,157.0,55.0,2016.0
"Wrestling Women's Flyweight, Freestyle",Summer,F,Silver,164609.0,82881.0,25.0,157.0,48.0,2010.0
"Wrestling Women's Heavyweight, Freestyle",Summer,F,Silver,209499.5,104904.0,27.5,168.5,73.5,2010.0
"Wrestling Women's Light-Heavyweight, Freestyle",Summer,F,Silver,254667.0,127491.0,25.0,174.0,69.0,2016.0
"Wrestling Women's Lightweight, Freestyle",Summer,F,Silver,257701.0,128999.5,24.5,165.0,55.0,2010.0
"Wrestling Women's Middleweight, Freestyle",Summer,F,Silver,130998.0,66008.0,23.5,165.5,63.0,2010.0
