Event,Season,Sex,Medal,Age,Height,Weight,Year
Swimming Women's 400 metres Freestyle,Summer,F,Gold,17.0,175.0,63.0,1988
Swimming Women's 400 metres Individual Medley,Summer,F,Gold,18.0,173.0,61.0,1990
Swimming Women's 50 metres Freestyle,Summer,F,Gold,22.5,179.0,61.0,2002
Swimming Women's 800 metres Freestyle,Summer,F,Gold,18.0,174.0,62.0,1992
Synchronized Swimming Women's Duet,Summer,F,Gold,25.0,170.0,55.0,2002
Synchronized Swimming Women's Solo,Summer,F,Gold,23.0,173.5,57.0,1990
Synchronized Swimming Women's Team,Summer,F,Gold,23.5,170.5,57.0,2006
Table Tennis Women's Doubles,Summer,F,Gold,23.0,165.0,56.5,1996
Table Tennis Women's Singles,Summer,F,Gold,22.5,168.0,57.0,2002
Table Tennis Women's Team,Summer,F,Gold,25.0,168.0,60.0,2012
Taekwondo Women's Featherweight,Summer,F,Gold,21.0,163.0,57.0,2008
Taekwondo Women's Flyweight,Summer,F,Gold,25.0,166.0,50.0,2008
Taekwondo Women's Heavyweight,Summer,F,Gold,20.0,183.0,73.0,2008
Taekwondo Women's Welterweight,Summer,F,Gold,22.0,175.0,67.0,2008
Tennis Mixed Doubles,Summer,F,Gold,26.5,175.5,63.0,2014
Tennis Women's Doubles,Summer,F,Gold,26.0,176.0,68.0,2002
Tennis Women's Singles,Summer,F,Gold,21.0,175.0,64.0,2002
Trampolining Women's Individual,Summer,F,Gold,25.0,158.0,52.0,2008
Triathlon Women's Olympic Distance,Summer,F,Gold,30.0,166.0,54.0,2008
Volleyball Women's Volleyball,Summer,F,Gold,24.0,180.0,72.0,1988
Water Polo Women's Water Polo,Summer,F,Gold,26.0,178.0,71.0,2008
Weightlifting Women's Featherweight,Summer,F,Gold,22.0,155.0,53.0,2008
Weightlifting Women's Flyweight,Summer,F,Gold,25.0,152.0,48.0,2008
Weightlifting Women's Heavyweight,Summer,F,Gold,25.0,165.0,75.0,2008
Weightlifting Women's Light-Heavyweight,Summer,F,Gold,21.0,162.0,69.0,2008
Weightlifting Women's Lightweight,Summer,F,Gold,23.0,158.0,58.0,2008
Weightlifting Women's Middleweight,Summer,F,Gold,23.0,159.0,63.0,2008
Weightlifting Women's Super-Heavyweight,Summer,F,Gold,24.0,172.0,120.0,2008
"Wrestling Women's Featherweight, Freestyle",Summer,F,Gold,24.0,163.0,57.0,2016
"Wrestling Women's Flyweight, Freestyle",Summer,F,Gold,24.5,155.0,48.0,2010
"Wrestling Women's Heavyweight, Freestyle",Summer,F,Gold,20.5,174.5,73.5,2010
"Wrestling Women's Light-Heavyweight, Freestyle",Summer,F,Gold,21.0,159.0,69.0,2016
"Wrestling Women's Lightweight, Freestyle",Summer,F,Gold,27.0,157.0,55.0,2010
"Wrestling Women's Middleweight, Freestyle",Summer,F,Gold,22.5,166.0,61.0,2010
