NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
HUN,Mikls Ambrus,M,31.0,185.0,90.0,Summer,1964,Water Polo,Water Polo Men's Water Polo,Gold
GDR,Rolf-Dieter Amend,M,23.0,173.0,74.0,Summer,1972,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
USA,"Joseph Brian ""Joe"" Amlong",M,27.0,186.0,86.0,Summer,1964,Rowing,Rowing Men's Coxed Eights,Gold
USA,"Thomas Kennedy ""Tom"" Amlong",M,29.0,186.0,91.0,Summer,1964,Rowing,Rowing Men's Coxed Eights,Gold
SUI,Simon Ammann,M,20.0,171.0,55.0,Winter,2002,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
SUI,Simon Ammann,M,20.0,171.0,55.0,Winter,2002,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Gold
SUI,Simon Ammann,M,28.0,171.0,55.0,Winter,2010,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
SUI,Simon Ammann,M,28.0,171.0,55.0,Winter,2010,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Gold
NGR,Daniel Owofin Amokachi,M,23.0,182.0,78.0,Summer,1996,Football,Football Men's Football,Gold
GDR,Uwe Ampler,M,24.0,182.0,77.0,Summer,1988,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
NOR,Steinar Amundsen,M,23.0,195.0,88.0,Summer,1968,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
NGR,Emmanuel Amunike,M,25.0,176.0,70.0,Summer,1996,Football,Football Men's Football,Gold
CAN,"Francis ""Frank"" Amyot",M,31.0,188.0,84.0,Summer,1936,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
KOR,An Byeong-Geun,M,22.0,172.0,78.0,Summer,1984,Judo,Judo Men's Lightweight,Gold
KOR,An Han-Bong,M,23.0,163.0,62.0,Summer,1992,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold
KOR,Viktor An,M,20.0,170.0,65.0,Winter,2006,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Gold
KOR,Viktor An,M,20.0,170.0,65.0,Winter,2006,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Gold
KOR,Viktor An,M,20.0,170.0,65.0,Winter,2006,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
RUS,Viktor An,M,28.0,170.0,65.0,Winter,2014,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Gold
RUS,Viktor An,M,28.0,170.0,65.0,Winter,2014,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Gold
RUS,Viktor An,M,28.0,170.0,65.0,Winter,2014,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
POL,Zygmunt Jzef Anczok,M,26.0,178.0,77.0,Summer,1972,Football,Football Men's Football,Gold
DEN,Mads Christian Kruse Andersen,M,30.0,187.0,75.0,Summer,2008,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
BRA,Anderson de Oliveira Rodrigues,M,30.0,190.0,95.0,Summer,2004,Volleyball,Volleyball Men's Volleyball,Gold
USA,Gary Lee Anderson,M,25.0,183.0,77.0,Summer,1964,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
USA,Gary Lee Anderson,M,29.0,183.0,77.0,Summer,1968,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",Gold
CAN,Jasey-Jay Anderson,M,34.0,178.0,80.0,Winter,2010,Snowboarding,Snowboarding Men's Parallel Giant Slalom,Gold
USA,John Franklin Anderson,M,25.0,191.0,97.0,Summer,1932,Athletics,Athletics Men's Discus Throw,Gold
AUS,John Edward Anderson,M,33.0,183.0,89.0,Summer,1972,Sailing,Sailing Mixed Two Person Keelboat,Gold
USA,Paul Edward Anderson,M,24.0,178.0,141.0,Summer,1956,Weightlifting,Weightlifting Men's Heavyweight,Gold
AUS,"Thomas James ""Tom"" Anderson",M,33.0,183.0,89.0,Summer,1972,Sailing,Sailing Mixed Three Person Keelboat,Gold
SWE,Svensk Hjalmar Zakeus Andersson,M,22.0,172.0,63.0,Summer,1912,Athletics,"Athletics Men's Cross-Country, Team",Gold
URS,Soslan Petrovich Andiyev,M,24.0,194.0,125.0,Summer,1976,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
URS,Soslan Petrovich Andiyev,M,28.0,194.0,125.0,Summer,1980,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
URU,Jos Leandro Andrade,M,22.0,179.0,77.0,Summer,1924,Football,Football Men's Football,Gold
URU,Jos Leandro Andrade,M,26.0,179.0,77.0,Summer,1928,Football,Football Men's Football,Gold
ITA,Alessandro Andrei,M,25.0,191.0,118.0,Summer,1984,Athletics,Athletics Men's Shot Put,Gold
ROU,Vasile Andrei,M,29.0,190.0,101.0,Summer,1984,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
SUI,Dominic Andres,M,25.0,179.0,74.0,Winter,1998,Curling,Curling Men's Curling,Gold
NOR,Frode Andresen,M,28.0,191.0,76.0,Winter,2002,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
URS,Nikolay Yefimovich Andrianov,M,19.0,166.0,60.0,Summer,1972,Gymnastics,Gymnastics Men's Floor Exercise,Gold
URS,Nikolay Yefimovich Andrianov,M,23.0,166.0,60.0,Summer,1976,Gymnastics,Gymnastics Men's Individual All-Around,Gold
URS,Nikolay Yefimovich Andrianov,M,23.0,166.0,60.0,Summer,1976,Gymnastics,Gymnastics Men's Floor Exercise,Gold
URS,Nikolay Yefimovich Andrianov,M,23.0,166.0,60.0,Summer,1976,Gymnastics,Gymnastics Men's Horse Vault,Gold
URS,Nikolay Yefimovich Andrianov,M,23.0,166.0,60.0,Summer,1976,Gymnastics,Gymnastics Men's Rings,Gold
URS,Nikolay Yefimovich Andrianov,M,27.0,166.0,60.0,Summer,1980,Gymnastics,Gymnastics Men's Team All-Around,Gold
URS,Nikolay Yefimovich Andrianov,M,27.0,166.0,60.0,Summer,1980,Gymnastics,Gymnastics Men's Horse Vault,Gold
YUG,Dragan Andri,M,22.0,192.0,91.0,Summer,1984,Water Polo,Water Polo Men's Water Polo,Gold
YUG,Dragan Andri,M,26.0,192.0,91.0,Summer,1988,Water Polo,Water Polo Men's Water Polo,Gold
FRA,Michel Andrieux,M,33.0,192.0,92.0,Summer,2000,Rowing,Rowing Men's Coxless Pairs,Gold
ITA,Matteo Anesi,M,21.0,185.0,81.0,Winter,2006,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Gold
FRG,Peter Angerer,M,24.0,178.0,73.0,Winter,1984,Biathlon,Biathlon Men's 20 kilometres,Gold
ITA,Paolo Angioni,M,26.0,177.0,64.0,Summer,1964,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
USA,Kurt Steven Angle,M,27.0,178.0,100.0,Summer,1996,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
YUG,Andrija Ankovi,M,23.0,177.0,79.0,Summer,1960,Football,Football Men's Football,Gold
URS,Aleksandre Anp'ilogovi,M,22.0,203.0,96.0,Summer,1976,Handball,Handball Men's Handball,Gold
USA,Carmelo Kyan Anthony,M,24.0,203.0,109.0,Summer,2008,Basketball,Basketball Men's Basketball,Gold
USA,Carmelo Kyan Anthony,M,28.0,203.0,109.0,Summer,2012,Basketball,Basketball Men's Basketball,Gold
USA,Carmelo Kyan Anthony,M,32.0,203.0,109.0,Summer,2016,Basketball,Basketball Men's Basketball,Gold
AUS,Peter Thomas Antonie,M,34.0,183.0,82.0,Summer,1992,Rowing,Rowing Men's Double Sculls,Gold
URS,Oegs Antropovs,M,20.0,193.0,83.0,Summer,1968,Volleyball,Volleyball Men's Volleyball,Gold
URS,Ants Antson,M,25.0,184.0,84.0,Winter,1964,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
FIN,"Kaarlo Johan Jalmari ""Kalle"" Anttila",M,32.0,167.0,64.0,Summer,1920,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
FIN,"Kaarlo Johan Jalmari ""Kalle"" Anttila",M,36.0,167.0,64.0,Summer,1924,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
PAK,Saeed Anwar,M,24.0,170.0,71.0,Summer,1968,Hockey,Hockey Men's Hockey,Gold
MAR,Sad Aouita,M,24.0,175.0,58.0,Summer,1984,Athletics,"Athletics Men's 5,000 metres",Gold
RUS,Nikolay Sergeyevich Apalikov,M,29.0,203.0,105.0,Summer,2012,Volleyball,Volleyball Men's Volleyball,Gold
AUT,Ingo Appelt,M,30.0,182.0,86.0,Winter,1992,Bobsleigh,Bobsleigh Men's Four,Gold
GBR,"William Reuben ""Willie"" Applegarth",M,21.0,170.0,59.0,Summer,1912,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
URS,Vladimer Aptsiauri,M,26.0,170.0,72.0,Summer,1988,Fencing,"Fencing Men's Foil, Team",Gold
MEX,Javier Ignacio Aquino Carmona,M,22.0,165.0,62.0,Summer,2012,Football,Football Men's Football,Gold
GBR,"Alexander ""Sandy"" Archer",M,25.0,180.0,71.0,Winter,1936,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
NZL,"Jeffrey Victor ""Jeff"" Archibald",M,24.0,177.0,68.0,Summer,1976,Hockey,Hockey Men's Hockey,Gold
ITA,Angelo Arcidiacono,M,28.0,174.0,74.0,Summer,1984,Fencing,"Fencing Men's Sabre, Team",Gold
ITA,Alessandro Argenton,M,27.0,172.0,63.0,Summer,1964,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
ITA,Luigi Arienti,M,23.0,168.0,65.0,Summer,1960,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
BRA,William Peixoto Arjona,M,37.0,186.0,78.0,Summer,2016,Volleyball,Volleyball Men's Volleyball,Gold
GER,Tobias Arlt,M,26.0,178.0,77.0,Winter,2014,Luge,Luge Mixed (Men)'s Doubles,Gold
GER,Tobias Arlt,M,26.0,178.0,77.0,Winter,2014,Luge,Luge Mixed Team Relay,Gold
ITA,Mario Armano,M,21.0,180.0,85.0,Winter,1968,Bobsleigh,Bobsleigh Men's Four,Gold
USA,"Raymond Richard ""Ray"" Armstead",M,24.0,187.0,76.0,Summer,1984,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
TTO,Aaron Nigel Armstrong,M,30.0,173.0,70.0,Summer,2008,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
