sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
188626,94761,"Alexander ""Alex"" Pietrangelo",M,24.0,190.0,96.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
188647,94774,Frdric Pietruszka,M,26.0,176.0,69.0,France,FRA,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Foil, Team",Gold
188674,94782,Jochen Pietzsch,M,24.0,176.0,73.0,Germany,GDR,1988 Winter,1988,Winter,Calgary,Luge,Luge Mixed (Men)'s Doubles,Gold
188701,94799,Ugo Pignotti,M,29.0,170.0,,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Foil, Team",Gold
188733,94812,"Herman Matinpoika ""Hermanni"" Pihlajamki",M,28.0,,,Finland,FIN,1932 Summer,1932,Summer,Los Angeles,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
188735,94813,Kustaa Kustaanpoika Pihlajamki,M,22.0,169.0,61.0,Finland,FIN,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
188738,94813,Kustaa Kustaanpoika Pihlajamki,M,34.0,169.0,61.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
188763,94824,Duko Pijetlovi,M,31.0,197.0,97.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
188765,94825,Gojko Pijetlovi,M,32.0,194.0,92.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
188768,94827,"Marinus Augustinus Josephus ""Ren"" Pijnen",M,22.0,175.0,72.0,Netherlands,NED,1968 Summer,1968,Summer,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
188774,94832,James F. Pike,M,,,,UK,GBR,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Trap, Team",Gold
188796,94841,Aavo Pikkuus,M,21.0,178.0,76.0,Russia,URS,1976 Summer,1976,Summer,Montreal,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
188850,94865,Paul Henry Pilgrim,M,20.0,180.0,75.0,USA,USA,1904 Summer,1904,Summer,St. Louis,Athletics,"Athletics Men's 4 mile, Team",Gold
188851,94865,Paul Henry Pilgrim,M,22.0,180.0,75.0,USA,USA,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 400 metres,Gold
188852,94865,Paul Henry Pilgrim,M,22.0,180.0,75.0,USA,USA,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 800 metres,Gold
188882,94883,Gyrgy Piller (Jekelfalussy-),M,33.0,,,Hungary,HUN,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's Sabre, Individual",Gold
188883,94883,Gyrgy Piller (Jekelfalussy-),M,33.0,,,Hungary,HUN,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Gold
188897,94886,Pietro Piller Cottrer,M,31.0,180.0,70.0,Italy,ITA,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
188905,94887,Julien Pillet,M,26.0,184.0,75.0,France,FRA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Sabre, Team",Gold
188907,94887,Julien Pillet,M,30.0,184.0,75.0,France,FRA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Team",Gold
188915,94892,Luc Camille Fernand Pillot,M,29.0,182.0,72.0,France,FRA,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Men's Two Person Dinghy,Gold
188917,94894,Ioannis Pilouris,M,,,,Greece,GRE,1906 Summer,1906,Summer,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Gold
188950,94913,William Edwin Pimm,M,43.0,168.0,,UK,GBR,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Gold
188954,94913,William Edwin Pimm,M,47.0,168.0,,UK,GBR,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",Gold
189004,94941,Demetrius Rashad Pinder,M,23.0,178.0,70.0,Bahamas,BAH,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
189014,94947,Adam Robert Pine,M,24.0,183.0,80.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
189059,94967,Timir Alekseyevich Pinegin,M,33.0,164.0,65.0,Russia,URS,1960 Summer,1960,Summer,Roma,Sailing,Sailing Mixed Two Person Keelboat,Gold
189116,94993,Pavel Pavlovich Pinigin,M,23.0,170.0,68.0,Russia,URS,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
189119,94995,Antonio Pinilla Miranda,M,21.0,176.0,,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Gold
189130,95003,"Clarence Elmer ""Bud"" Pinkston",M,20.0,,,USA,USA,1920 Summer,1920,Summer,Antwerpen,Diving,Diving Men's Platform,Gold
189138,95008,Broome Eric Pinniger,M,25.0,180.0,,India,IND,1928 Summer,1928,Summer,Amsterdam,Hockey,Hockey Men's Hockey,Gold
189139,95008,Broome Eric Pinniger,M,29.0,180.0,,India,IND,1932 Summer,1932,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
189149,95016,Matthew Clive Pinsent,M,21.0,196.0,108.0,UK,GBR,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Pairs,Gold
189150,95016,Matthew Clive Pinsent,M,25.0,196.0,108.0,UK,GBR,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Pairs,Gold
189151,95016,Matthew Clive Pinsent,M,29.0,196.0,108.0,UK,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Gold
189152,95016,Matthew Clive Pinsent,M,33.0,196.0,108.0,UK,GBR,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Gold
189231,95048,Cosimo Pinto,M,21.0,178.0,81.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Light-Heavyweight,Gold
189253,95056,Leo Hillary Knowles Pinto,M,34.0,,,India,IND,1948 Summer,1948,Summer,London,Hockey,Hockey Men's Hockey,Gold
189315,95082,Jean Piot,M,42.0,,,France,FRA,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Team",Gold
189316,95082,Jean Piot,M,42.0,,,France,FRA,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's epee, Team",Gold
189347,95095,"Donald Arthur ""Don"" Piper",M,25.0,180.0,73.0,USA,USA,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Gold
189367,95105,Scottie Maurice Pippen,M,26.0,200.0,102.0,USA,USA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Gold
189368,95105,Scottie Maurice Pippen,M,30.0,200.0,102.0,USA,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,Gold
189372,95108,Dan Luther Pippin,M,25.0,185.0,77.0,USA,USA,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Gold
189451,95145,Mehmet Akif Pirim,M,23.0,160.0,66.0,Turkey,TUR,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
189457,95150,Juan Emilio Priz,M,26.0,,,Uruguay,URU,1928 Summer,1928,Summer,Amsterdam,Football,Football Men's Football,Gold
