NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
BUL,Borislav Ananiev,M,24.0,185.0,80.0,Summer,1980,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
CRO,Mario Ani,M,20.0,195.0,84.0,Summer,2004,Tennis,Tennis Men's Doubles,Bronze
FIN,Ove Andersen,M,28.0,178.0,70.0,Summer,1928,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
NOR,Terje Andersen,M,27.0,180.0,75.0,Winter,1980,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze
BRA,nderson Lus de Abreu Oliveira,M,20.0,176.0,77.0,Summer,2008,Football,Football Men's Football,Bronze
USA,Brett Franklin Anderson,M,20.0,193.0,104.0,Summer,2008,Baseball,Baseball Men's Baseball,Bronze
NZL,Gary John Anderson,M,24.0,181.0,75.0,Summer,1992,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
USA,"Matthew John ""Matt"" Anderson",M,29.0,202.0,100.0,Summer,2016,Volleyball,Volleyball Men's Volleyball,Bronze
GBR,Paul Richard Anderson,M,33.0,183.0,86.0,Summer,1968,Sailing,Sailing Mixed 5.5 metres,Bronze
AUS,John Scott Anderson,M,30.0,187.0,72.0,Summer,1984,Sailing,Sailing Mixed Multihull,Bronze
USA,"William Lloyd ""Willie"" Anderson, Jr.",M,21.0,200.0,86.0,Summer,1988,Basketball,Basketball Men's Basketball,Bronze
SWE,Frank ivind Stefan Andersson,M,28.0,186.0,93.0,Summer,1984,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
SWE,Bo Leif Andersson,M,30.0,183.0,71.0,Winter,1992,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
SWE,Bo Mikael Andersson,M,28.0,187.0,88.0,Winter,1988,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
SWE,Nils Peter Andersson,M,25.0,190.0,92.0,Winter,1988,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
AUS,Ramon Dean Andersson,M,29.0,188.0,95.0,Summer,1992,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
SWE,Carl Sture Mikael Andersson,M,30.0,173.0,77.0,Winter,1980,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
JPN,Kenkichi Ando,M,26.0,154.0,59.0,Summer,1976,Weightlifting,Weightlifting Men's Bantamweight,Bronze
JPN,Yuya Ando,M,26.0,183.0,89.0,Summer,2004,Baseball,Baseball Men's Baseball,Bronze
BRA,Andr Luiz Moreira,M,21.0,183.0,79.0,Summer,1996,Football,Football Men's Football,Bronze
FRA,"Georges Ivan ""Go"" Andr (Monnard-)",M,30.0,188.0,85.0,Summer,1920,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
USA,Larry Edwin Andreasen,M,18.0,163.0,61.0,Summer,1964,Diving,Diving Men's Springboard,Bronze
ROU,Vasile Andrei,M,24.0,190.0,101.0,Summer,1980,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
NOR,Frode Andresen,M,32.0,191.0,76.0,Winter,2006,Biathlon,Biathlon Men's 10 kilometres Sprint,Bronze
URS,Sergey Vasilyevich Andreyev,M,24.0,173.0,70.0,Summer,1980,Football,Football Men's Football,Bronze
URS,Vladimir Georgiyevich Andreyev,M,23.0,215.0,90.0,Summer,1968,Basketball,Basketball Men's Basketball,Bronze
RUS,Vladimir Vasilyevich Andreyev,M,34.0,170.0,58.0,Summer,2000,Athletics,Athletics Men's 20 kilometres Walk,Bronze
URS,Nikolay Yefimovich Andrianov,M,19.0,166.0,60.0,Summer,1972,Gymnastics,Gymnastics Men's Horse Vault,Bronze
URS,Nikolay Yefimovich Andrianov,M,23.0,166.0,60.0,Summer,1976,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
URS,Nikolay Yefimovich Andrianov,M,27.0,166.0,60.0,Summer,1980,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
