NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
BRA,Thiago Soares Alves,M,25.0,194.0,88.0,Summer,2012,Volleyball,Volleyball Men's Volleyball,Silver
EGY,Mohamed Aly Reda,M,29.0,190.0,91.0,Summer,2004,Boxing,Boxing Men's Super-Heavyweight,Silver
ESP,Jaime Santiago Amat Durn,M,26.0,168.0,73.0,Summer,1996,Hockey,Hockey Men's Hockey,Silver
ESP,Juan Amat Fontanals,M,34.0,193.0,80.0,Summer,1980,Hockey,Hockey Men's Hockey,Silver
ESP,"Pablo ""Pol"" Amat Escud",M,18.0,183.0,78.0,Summer,1996,Hockey,Hockey Men's Hockey,Silver
ESP,"Pablo ""Pol"" Amat Escud",M,30.0,183.0,78.0,Summer,2008,Hockey,Hockey Men's Hockey,Silver
BRA,Amauri Ribeiro,M,25.0,198.0,87.0,Summer,1984,Volleyball,Volleyball Men's Volleyball,Silver
ESP,Ivn Amaya Carazo,M,22.0,188.0,85.0,Summer,2000,Football,Football Men's Football,Silver
NGR,"Efetobore ""Efe"" Ambrose Emuobo",M,19.0,187.0,70.0,Summer,2008,Football,Football Men's Football,Silver
FRA,Sbastien Amiez,M,29.0,180.0,87.0,Winter,2002,Alpine Skiing,Alpine Skiing Men's Slalom,Silver
FRG,Otto Ammermann,M,43.0,183.0,71.0,Summer,1976,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
USA,"Anthony Lewis ""Tony"" Amonte",M,31.0,183.0,91.0,Winter,2002,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
BOT,Nijel Carlos Amilfitano Amos,M,18.0,179.0,60.0,Summer,2012,Athletics,Athletics Men's 800 metres,Silver
KOR,An Ba-Ul,M,22.0,169.0,66.0,Summer,2016,Judo,Judo Men's Half-Lightweight,Silver
KOR,An Yeong-Su,M,20.0,174.0,70.0,Summer,1984,Boxing,Boxing Men's Welterweight,Silver
CHN,An Yulong,M,19.0,173.0,70.0,Winter,1998,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Silver
ITA,Flavio Anastasia,M,23.0,188.0,81.0,Summer,1992,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
SUI,"Stefan ""Steve"" Anderhub",M,31.0,187.0,104.0,Winter,2002,Bobsleigh,Bobsleigh Men's Two,Silver
DEN,"Paul Kuhlman ""Poul"" Andersen",M,30.0,173.0,73.0,Summer,1960,Football,Football Men's Football,Silver
BRA,Anderson de Oliveira Rodrigues,M,34.0,190.0,95.0,Summer,2008,Volleyball,Volleyball Men's Volleyball,Silver
AUS,Craig Anthony Anderson,M,23.0,187.0,86.0,Summer,2004,Baseball,Baseball Men's Baseball,Silver
CAN,David Anderson,M,23.0,190.0,86.0,Summer,1960,Rowing,Rowing Men's Coxed Eights,Silver
USA,"Stephen Eugene ""Steve"" Anderson",M,22.0,190.0,77.0,Summer,1928,Athletics,Athletics Men's 110 metres Hurdles,Silver
USA,"Osborne ""Ty"" Anderson",M,23.0,175.0,77.0,Winter,1932,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
USA,Wendell Richard Anderson,M,22.0,182.0,77.0,Winter,1956,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
SWE,ke Anders Andersson,M,27.0,177.0,72.0,Winter,1964,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
SWE,Bjarne Lennart Andersson,M,27.0,178.0,68.0,Winter,1968,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
SWE,Svensk Hjalmar Zakeus Andersson,M,22.0,172.0,63.0,Summer,1912,Athletics,"Athletics Men's Cross-Country, Individual",Silver
SWE,Kim Verner Andersson,M,29.0,200.0,105.0,Summer,2012,Handball,Handball Men's Handball,Silver
SWE,Per Magnus Andersson,M,26.0,180.0,80.0,Summer,1992,Handball,Handball Men's Handball,Silver
SWE,Per Magnus Andersson,M,30.0,180.0,80.0,Summer,1996,Handball,Handball Men's Handball,Silver
SWE,Per Magnus Andersson,M,34.0,180.0,80.0,Summer,2000,Handball,Handball Men's Handball,Silver
