sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
141435,70965,Ryan Steven Lochte,M,27.0,188.0,88.0,USA,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Individual Medley,Silver
141460,70979,William Lockwood,M,24.0,191.0,88.0,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Fours,Silver
141461,70979,William Lockwood,M,28.0,191.0,88.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver
141499,70994,Todd Lodwick,M,33.0,180.0,67.0,USA,USA,2010 Winter,2010,Winter,Vancouver,Nordic Combined,Nordic Combined Men's Team,Silver
141504,70995,Sven Lodziewski,M,23.0,203.0,91.0,Germany,GDR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
141516,71002,Leijn Loevesijn,M,19.0,176.0,75.0,Netherlands,NED,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver
141523,71007,Emanuel Lffler,M,26.0,,,Czech Republic,TCH,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Team All-Around,Silver
141524,71007,Emanuel Lffler,M,26.0,,,Czech Republic,TCH,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Horse Vault,Silver
141540,71009,Horst Lffler,M,22.0,179.0,81.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
141585,71030,Glen Loftus,M,28.0,187.0,70.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
141586,71031,Hubert Bruce Logan,M,26.0,,,UK,GBR,1912 Summer,1912,Summer,Stockholm,Rowing,"Rowing Men's Coxed Fours, Outriggers",Silver
141599,71038,M. L. Logan,M,,,,UK,GBR,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Silver
