sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
215211,108041,Rebecca Scown,F,28.0,178.0,70.0,New Zealand,NZL,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxless Pairs,Bronze
215218,108044,"Jennifer ""Jenni"" Screen (-Mottram)",F,30.0,180.0,69.0,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Bronze
215302,108089,Mary Jane Sears,F,17.0,172.0,59.0,USA,USA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 100 metres Butterfly,Bronze
215312,108094,Anna Banana Seaton (-Huntington),F,28.0,172.0,64.0,USA,USA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Pairs,Bronze
215720,108306,Karin Seick,F,22.0,182.0,63.0,Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
215721,108306,Karin Seick,F,22.0,182.0,63.0,Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Butterfly,Bronze
215855,108374,Katja Seizinger (-Weber),F,19.0,171.0,64.0,Germany,GER,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Women's Super G,Bronze
215864,108374,Katja Seizinger (-Weber),F,25.0,171.0,64.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Bronze
215885,108383,Jasna ekari (Brajkovi-),F,22.0,175.0,70.0,Serbia,YUG,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze
216037,108441,Monica Seles,F,26.0,179.0,70.0,USA,USA,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Women's Singles,Bronze
216042,108444,Larisa Yuryevna Seleznyova (-Makarova),F,20.0,161.0,52.0,Russia,URS,1984 Winter,1984,Winter,Sarajevo,Figure Skating,Figure Skating Mixed Pairs,Bronze
216083,108460,Maria Helena Selin,F,20.0,162.0,52.0,Finland,FIN,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
216209,108531,Olha Yurivna Semenova,F,23.0,176.0,71.0,Russia,URS,1988 Summer,1988,Summer,Seoul,Handball,Handball Women's Handball,Bronze
216241,108541,"Viktoriya Oleksandrivna ""Vita"" Semerenko",F,28.0,162.0,58.0,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Bronze
216326,108584,Svetlana Stepanova Semyonova,F,22.0,179.0,76.0,Russia,URS,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Fours,Bronze
216446,108662,Alessandra Sensini,F,26.0,170.0,55.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Women's Windsurfer,Bronze
216448,108662,Alessandra Sensini,F,34.0,170.0,55.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Sailing,Sailing Women's Windsurfer,Bronze
216465,108675,Hlya enyurt,F,18.0,,,Turkey,TUR,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Extra-Lightweight,Bronze
216645,108773,Mariana Serbezova,F,20.0,178.0,69.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
216680,108790,Antonina Aleksandrovna Seredina,F,38.0,164.0,66.0,Russia,URS,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
216927,108935,Lauren Marie Sesselmann,F,28.0,173.0,71.0,Canada,CAN,2012 Summer,2012,Summer,London,Football,Football Women's Football,Bronze
216985,108966,Christina Anne Seufert (-Sholtis),F,27.0,175.0,62.0,USA,USA,1984 Summer,1984,Summer,Los Angeles,Diving,Diving Women's Springboard,Bronze
217016,108984,"Kimberly Lyda ""Kim"" Severson (Vinoski-)",F,30.0,160.0,54.0,USA,USA,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
217029,108994,Nadezhda Petrovna Sevostiyanova,F,22.0,172.0,75.0,Russia,URS,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Fours,Bronze
217088,109029,Ethel Seymour,F,,,,UK,GBR,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Women's Team All-Around,Bronze
217346,109169,Dariga Shakimova,F,27.0,172.0,75.0,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Middleweight,Bronze
217380,109190,Yelena Yevgenyevna Shalygina,F,21.0,165.0,63.0,Kazakhstan,KAZ,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Women's Middleweight, Freestyle",Bronze
217431,109210,Shan Ying,F,17.0,172.0,67.0,China,CHN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
217446,109218,Shang Chunsong,F,20.0,143.0,34.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Bronze
217507,109253,Nataliya Vitalyevna Shaposhnikova (-Sut),F,19.0,158.0,46.0,Russia,URS,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
217510,109253,Nataliya Vitalyevna Shaposhnikova (-Sut),F,19.0,158.0,46.0,Russia,URS,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Balance Beam,Bronze
217738,109369,Bryony Elisabeth Shaw,F,25.0,166.0,60.0,UK,GBR,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's Windsurfer,Bronze
217801,109403,Tatyana Sergeyevna Shchelkanova,F,27.0,168.0,58.0,Russia,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's Long Jump,Bronze
217867,109427,Tatyana Nikolayevna Shchyegoleva,F,22.0,195.0,65.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Bronze
217868,109427,Tatyana Nikolayevna Shchyegoleva,F,26.0,195.0,65.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Bronze
218026,109517,Karen Christina Shelton (-Scroggs),F,26.0,165.0,53.0,USA,USA,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,Bronze
218109,109553,Shen Xue,F,23.0,160.0,45.0,China,CHN,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Mixed Pairs,Bronze
218110,109553,Shen Xue,F,27.0,160.0,45.0,China,CHN,2006 Winter,2006,Winter,Torino,Figure Skating,Figure Skating Mixed Pairs,Bronze
218163,109583,Dorothy Cunliffe Shepherd-Barron,F,26.0,,,UK,GBR,1924 Summer,1924,Summer,Paris,Tennis,Tennis Women's Doubles,Bronze
218309,109651,Liudmyla Dmytrivna Shevchenko,F,34.0,183.0,90.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Handball,Handball Women's Handball,Bronze
218382,109676,Shi Jinglin,F,23.0,175.0,68.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
218463,109726,"Susanne Marie ""Susan"" Shields (-White)",F,16.0,170.0,60.0,USA,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Butterfly,Bronze
