NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
GER,Carina Br,F,26.0,185.0,75.0,Summer,2016,Rowing,Rowing Women's Quadruple Sculls,Gold
RUS,Nataliya Ivanovna Baranova (Masolkina-),F,30.0,172.0,65.0,Winter,2006,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
EUN,Yelena Viktorovna Baranova,F,20.0,192.0,80.0,Summer,1992,Basketball,Basketball Women's Basketball,Gold
ESP,Mara del Carmen Barea Cobos,F,25.0,164.0,56.0,Summer,1992,Hockey,Hockey Women's Hockey,Gold
GBR,Elinor Jane Barker,F,21.0,168.0,56.0,Summer,2016,Cycling,Cycling Women's Team Pursuit,Gold
USA,Jane Louise Barkman (-Brown),F,17.0,169.0,61.0,Summer,1968,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
USA,Jane Louise Barkman (-Brown),F,20.0,169.0,61.0,Summer,1972,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
FRA,Valrie Gisele Angele Barlois-Mevel-Leroux,F,27.0,165.0,53.0,Summer,1996,Fencing,"Fencing Women's epee, Team",Gold
CAN,Jennifer-Kirsten Barnes,F,24.0,175.0,75.0,Summer,1992,Rowing,Rowing Women's Coxless Fours,Gold
CAN,Jennifer-Kirsten Barnes,F,24.0,175.0,75.0,Summer,1992,Rowing,Rowing Women's Coxed Eights,Gold
AUS,Bronte Amelia Arnold Barratt,F,19.0,171.0,59.0,Summer,2008,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
ESP,Sonia Barrio Gutirrez,F,22.0,164.0,56.0,Summer,1992,Hockey,Hockey Women's Hockey,Gold
RUS,Yuliya Vladimirovna Barsukova (-Samokhin),F,21.0,168.0,45.0,Summer,2000,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Gold
GER,Saskia Bartusiak,F,33.0,170.0,60.0,Summer,2016,Football,Football Women's Football,Gold
URS,Olga Fyodorovna Barysheva-Korostelyova,F,21.0,168.0,67.0,Summer,1976,Basketball,Basketball Women's Basketball,Gold
URS,Olga Fyodorovna Barysheva-Korostelyova,F,25.0,168.0,67.0,Summer,1980,Basketball,Basketball Women's Basketball,Gold
FRG,Sabine Christiane Bau,F,19.0,180.0,66.0,Summer,1988,Fencing,"Fencing Women's Foil, Team",Gold
GER,Viola Bauer,F,25.0,167.0,61.0,Winter,2002,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
AUT,"Hermine ""Herma"" Bauma",F,33.0,161.0,68.0,Summer,1948,Athletics,Athletics Women's Javelin Throw,Gold
FRA,Florence  Andre Isabelle Baverel-Robert,F,31.0,167.0,60.0,Winter,2006,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Gold
RUS,Svetlana Valeryevna Bazhanova,F,21.0,175.0,70.0,Winter,1994,Speed Skating,"Speed Skating Women's 3,000 metres",Gold
USA,Amanda Ray Beard (-Brown),F,14.0,173.0,59.0,Summer,1996,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
USA,Amanda Ray Beard (-Brown),F,22.0,173.0,59.0,Summer,2004,Swimming,Swimming Women's 200 metres Breaststroke,Gold
USA,"Elizabeth Ann ""Betsy"" Beard (-Stillings)",F,22.0,155.0,42.0,Summer,1984,Rowing,Rowing Women's Coxed Eights,Gold
GBR,Anna Rose Bebington-Watkins,F,29.0,183.0,78.0,Summer,2012,Rowing,Rowing Women's Double Sculls,Gold
CAN,Kelly Bchard,F,24.0,175.0,66.0,Winter,2002,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
GBR,Laura Bechtolsheimer (-Tomlinson),F,27.0,169.0,56.0,Summer,2012,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
AUS,Nicole Elise Beck,F,28.0,168.0,66.0,Summer,2016,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold
GER,Stephanie Beckert,F,21.0,172.0,73.0,Winter,2010,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Gold
CAN,Myriam Bdard,F,24.0,161.0,54.0,Winter,1994,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Gold
CAN,Myriam Bdard,F,24.0,161.0,54.0,Winter,1994,Biathlon,Biathlon Women's 15 kilometres,Gold
USA,"Barbara Jane ""B. J."" Bedford (-Miller)",F,27.0,172.0,61.0,Summer,2000,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
GER,Petra Behle-Schaaf,F,29.0,177.0,67.0,Winter,1998,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Gold
GDR,Jutta Behrendt (Hampe-),F,27.0,181.0,75.0,Summer,1988,Rowing,Rowing Women's Single Sculls,Gold
GER,Melanie Behringer,F,30.0,172.0,71.0,Summer,2016,Football,Football Women's Football,Gold
ESP,Ruth Beita Vila,F,37.0,191.0,72.0,Summer,2016,Athletics,Athletics Women's High Jump,Gold
GRE,Sofia Bekatorou (-Kosmatopoulos),F,26.0,172.0,62.0,Summer,2004,Sailing,Sailing Women's Two Person Dinghy,Gold
NOR,Kristin Bekkevold,F,23.0,173.0,64.0,Summer,2000,Football,Football Women's Football,Gold
AUS,Tracey Lee Belbin,F,21.0,169.0,67.0,Summer,1988,Hockey,Hockey Women's Hockey,Gold
CAN,"Florence Isabel ""Jane"" Bell (-Walker, -Doane)",F,17.0,169.0,58.0,Summer,1928,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
CUB,Regla Maritza Bell McKenzie,F,22.0,180.0,73.0,Summer,1992,Volleyball,Volleyball Women's Volleyball,Gold
CUB,Regla Maritza Bell McKenzie,F,26.0,180.0,73.0,Summer,1996,Volleyball,Volleyball Women's Volleyball,Gold
CUB,Regla Maritza Bell McKenzie,F,30.0,180.0,73.0,Summer,2000,Volleyball,Volleyball Women's Volleyball,Gold
ITA,Antonella Bellutti,F,27.0,180.0,73.0,Summer,1996,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Gold
