NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
ESP,Sandra Azn Canalda,F,30.0,171.0,68.0,Summer,2004,Sailing,Sailing Women's Two Person Dinghy,Silver
NED,"Christina Wilhelmina ""Stien"" Baas-Kaiser",F,33.0,174.0,69.0,Winter,1972,Speed Skating,"Speed Skating Women's 1,500 metres",Silver
USA,Shirley Frances Babashoff,F,15.0,178.0,67.0,Summer,1972,Swimming,Swimming Women's 100 metres Freestyle,Silver
USA,Shirley Frances Babashoff,F,15.0,178.0,67.0,Summer,1972,Swimming,Swimming Women's 200 metres Freestyle,Silver
USA,Shirley Frances Babashoff,F,19.0,178.0,67.0,Summer,1976,Swimming,Swimming Women's 200 metres Freestyle,Silver
USA,Shirley Frances Babashoff,F,19.0,178.0,67.0,Summer,1976,Swimming,Swimming Women's 400 metres Freestyle,Silver
USA,Shirley Frances Babashoff,F,19.0,178.0,67.0,Summer,1976,Swimming,Swimming Women's 800 metres Freestyle,Silver
USA,Shirley Frances Babashoff,F,19.0,178.0,67.0,Summer,1976,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
ESP,Marta Bach Pascual,F,19.0,176.0,66.0,Summer,2012,Water Polo,Water Polo Women's Water Polo,Silver
SUI,Timea Bacsinszky,F,27.0,170.0,62.0,Summer,2016,Tennis,Tennis Women's Doubles,Silver
GDR,Gabriele Badorek (Soltau-),F,23.0,180.0,75.0,Summer,1976,Handball,Handball Women's Handball,Silver
URS,Yelizaveta Petrovna Bagryantseva (-Verkhoshanskaya),F,31.0,170.0,76.0,Summer,1952,Athletics,Athletics Women's Discus Throw,Silver
USA,Shannon Deanne Bahrke,F,21.0,162.0,55.0,Winter,2002,Freestyle Skiing,Freestyle Skiing Women's Moguls,Silver
GER,Anke Baier-Loef,F,21.0,164.0,61.0,Winter,1994,Speed Skating,"Speed Skating Women's 1,000 metres",Silver
URS,Laimut Baikauskait,F,32.0,162.0,58.0,Summer,1988,Athletics,"Athletics Women's 1,500 metres",Silver
