sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
243499,121945,Pascale Marie Odette Marcelle Trinquet-Hachin,F,21.0,170.0,54.0,France,FRA,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Women's Foil, Individual",Gold
243500,121945,Pascale Marie Odette Marcelle Trinquet-Hachin,F,21.0,170.0,54.0,France,FRA,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Women's Foil, Team",Gold
243744,122071,Laura Rebecca Trott (-Kenny),F,20.0,164.0,56.0,UK,GBR,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Team Pursuit,Gold
243745,122071,Laura Rebecca Trott (-Kenny),F,20.0,164.0,56.0,UK,GBR,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Omnium,Gold
243746,122071,Laura Rebecca Trott (-Kenny),F,24.0,164.0,56.0,UK,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Gold
243747,122071,Laura Rebecca Trott (-Kenny),F,24.0,164.0,56.0,UK,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Omnium,Gold
243761,122077,"De'Hashia Tonnek ""DeeDee"" Trotter",F,21.0,178.0,64.0,USA,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
243764,122077,"De'Hashia Tonnek ""DeeDee"" Trotter",F,29.0,178.0,64.0,USA,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
243797,122097,Tina Trstenjak,F,25.0,162.0,65.0,Slovenia,SLO,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,Gold
244270,122325,Svetlana Tirkova (-Lozovaja),F,22.0,169.0,64.0,Russia,URS,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Women's Foil, Team",Gold
244271,122325,Svetlana Tirkova (-Lozovaja),F,26.0,169.0,64.0,Russia,URS,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Women's Foil, Team",Gold
244323,122360,Aimilia Tsoulfa,F,31.0,169.0,67.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Sailing,Sailing Women's Two Person Dinghy,Gold
244324,122361,Athanasia Tsoumeleka,F,22.0,158.0,47.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 20 kilometres Walk,Gold
244387,122390,Maki Tsukada,F,22.0,170.0,126.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Heavyweight,Gold
244476,122408,Alla Petrovna Tsuper,F,34.0,153.0,53.0,Belarus,BLR,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Aerials,Gold
244702,122518,Sarah Tueting (-Lemaitre),F,21.0,170.0,64.0,USA,USA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
244832,122584,Derartu Tulu,F,20.0,160.0,45.0,Ethiopia,ETH,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Women's 10,000 metres",Gold
244834,122584,Derartu Tulu,F,28.0,160.0,45.0,Ethiopia,ETH,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Women's 10,000 metres",Gold
244910,122634,Anna Tunnicliffe (-Funk),F,25.0,168.0,66.0,USA,USA,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's One Person Dinghy,Gold
245006,122690,Zinada Mykhailivna Turchyna (Stolitenko-),F,30.0,180.0,73.0,Russia,URS,1976 Summer,1976,Summer,Montreal,Handball,Handball Women's Handball,Gold
245007,122690,Zinada Mykhailivna Turchyna (Stolitenko-),F,34.0,180.0,73.0,Russia,URS,1980 Summer,1980,Summer,Moskva,Handball,Handball Women's Handball,Gold
245071,122726,Lyudmila Ivanovna Turishcheva (-Borzova),F,16.0,160.0,52.0,Russia,URS,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Team All-Around,Gold
245076,122726,Lyudmila Ivanovna Turishcheva (-Borzova),F,19.0,160.0,52.0,Russia,URS,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Individual All-Around,Gold
245077,122726,Lyudmila Ivanovna Turishcheva (-Borzova),F,19.0,160.0,52.0,Russia,URS,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,Gold
245083,122726,Lyudmila Ivanovna Turishcheva (-Borzova),F,23.0,160.0,52.0,Russia,URS,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Team All-Around,Gold
245135,122758,Amy Turner,F,32.0,168.0,64.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold
245146,122765,Cathy Ann Turner,F,29.0,157.0,53.0,USA,USA,1992 Winter,1992,Winter,Albertville,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Gold
245148,122765,Cathy Ann Turner,F,31.0,157.0,53.0,USA,USA,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Gold
245470,122919,"Georgina Sophie ""Georgie"" Twigg",F,25.0,170.0,62.0,UK,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Gold
245537,122955,Oleksandra Oleksandrivna Tymoshenko,F,20.0,162.0,40.0,Russia,EUN,1992 Summer,1992,Summer,Barcelona,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Gold
245571,122974,Tamara Andreyevna Tyshkevich,F,25.0,170.0,116.0,Russia,URS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's Shot Put,Gold
245614,122998,Lyubov Nikolayevna Tyurina (Yevtushenko-),F,29.0,181.0,75.0,Russia,URS,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Women's Volleyball,Gold
245616,123000,Wyomia Tyus (-Simburg),F,19.0,172.0,61.0,USA,USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 100 metres,Gold
245618,123000,Wyomia Tyus (-Simburg),F,23.0,172.0,61.0,USA,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 100 metres,Gold
245620,123000,Wyomia Tyus (-Simburg),F,23.0,172.0,61.0,USA,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
245902,123132,Masae Ueno,F,25.0,160.0,70.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Middleweight,Gold
245903,123132,Masae Ueno,F,29.0,160.0,70.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Middleweight,Gold
245909,123137,Yukiko Ueno,F,26.0,174.0,72.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Gold
246110,123241,Gretchen Ulion (-Silverman),F,25.0,157.0,59.0,USA,USA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
246163,123264,Sarah Elizabeth Ulmer,F,28.0,167.0,64.0,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Gold
246347,123361,Laura Emma Unsworth,F,28.0,157.0,55.0,UK,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Gold
246401,123381,Nicole Uphoff-Becker (-Selke),F,21.0,173.0,60.0,Germany,FRG,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
246402,123381,Nicole Uphoff-Becker (-Selke),F,21.0,173.0,60.0,Germany,FRG,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
246403,123381,Nicole Uphoff-Becker (-Selke),F,25.0,173.0,60.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
246404,123381,Nicole Uphoff-Becker (-Selke),F,25.0,173.0,60.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
246669,123513,Mara Isabel Urrutia Ocor,F,35.0,170.0,78.0,Colombia,COL,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Women's Heavyweight,Gold
247072,123710,Dorina Vaccaroni,F,28.0,170.0,57.0,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Women's Foil, Team",Gold
247254,123794,Sarah Marie Vaillancourt,F,20.0,168.0,63.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
247255,123794,Sarah Marie Vaillancourt,F,24.0,168.0,63.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
