Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Cross Country Skiing Men's 10 kilometres,Winter,M,Gold,246201.0,123284.0,28.0,180.0,73.0,1992.0
Cross Country Skiing Men's 10/10 kilometres Pursuit,Winter,M,Gold,35263.0,18190.5,29.5,189.0,82.0,2002.0
Cross Country Skiing Men's 10/15 kilometres Pursuit,Winter,M,Gold,5427.0,3069.0,26.0,190.0,82.0,1998.0
Cross Country Skiing Men's 15 kilometres,Winter,M,Gold,85604.0,43396.0,26.0,180.5,74.0,1980.0
Cross Country Skiing Men's 18 kilometres,Winter,M,Gold,112434.5,56752.0,28.5,170.0,59.0,1934.0
Cross Country Skiing Men's 30 kilometres,Winter,M,Gold,172772.0,86808.0,27.0,177.0,68.0,1980.0
Cross Country Skiing Men's 30 km Skiathlon,Winter,M,Gold,53514.0,27456.0,24.0,182.0,75.0,2010.0
Cross Country Skiing Men's 4 x 10 kilometres Relay,Winter,M,Gold,154814.0,77713.5,28.0,180.0,71.0,1980.0
Cross Country Skiing Men's 50 kilometres,Winter,M,Gold,110948.0,56146.5,27.5,180.0,74.0,1970.0
Cross Country Skiing Men's Sprint,Winter,M,Gold,111618.5,56368.0,27.5,186.0,82.0,2008.0
Cross Country Skiing Men's Team Sprint,Winter,M,Gold,155833.5,78282.5,27.0,184.0,82.5,2010.0
Curling Men's Curling,Winter,M,Gold,110512.5,55954.5,31.5,180.0,82.5,2004.0
Cycling Men's 1 mile,Summer,M,Gold,101142.0,51135.0,20.0,181.0,,1904.0
"Cycling Men's 1,000 metres Time Trial",Summer,M,Gold,140423.0,70734.5,23.0,180.0,78.0,1970.0
Cycling Men's 1/2 mile,Summer,M,Gold,101141.0,51135.0,20.0,181.0,,1904.0
Cycling Men's 1/3 mile,Summer,M,Gold,101140.0,51135.0,20.0,181.0,,1904.0
Cycling Men's 1/4 mile,Summer,M,Gold,101139.0,51135.0,20.0,181.0,,1904.0
"Cycling Men's 10,000 metres",Summer,M,Gold,151937.0,76252.0,19.0,,,1896.0
Cycling Men's 100 kilometres,Summer,M,Gold,42739.5,22000.5,20.5,,,1902.0
Cycling Men's 100 kilometres Team Time Trial,Summer,M,Gold,135430.0,68093.5,22.0,180.0,74.5,1976.0
Cycling Men's 12-Hours Race,Summer,M,Gold,213105.0,107006.0,23.0,,,1896.0
Cycling Men's 2 mile,Summer,M,Gold,58218.0,29791.0,19.0,,,1904.0
Cycling Men's 20 kilometres,Summer,M,Gold,153493.0,77362.5,28.5,,,1907.0
Cycling Men's 25 kilometres,Summer,M,Gold,15786.0,8513.0,18.0,,,1900.0
Cycling Men's 25 mile,Summer,M,Gold,58220.0,29791.0,19.0,,,1904.0
Cycling Men's 333 metres Time Trial,Summer,M,Gold,201894.0,101187.0,19.5,,,1901.0
Cycling Men's 5 mile,Summer,M,Gold,212989.0,106953.0,30.0,,,1904.0
"Cycling Men's 5,000 metres",Summer,M,Gold,180931.0,90870.5,23.0,,,1907.0
Cycling Men's 50 kilometres,Summer,M,Gold,169371.5,85037.0,26.0,,,1922.0
Cycling Men's BMX,Summer,M,Gold,230808.0,115836.0,23.0,186.0,90.0,2012.0
"Cycling Men's Individual Pursuit, 4,000 metres",Summer,M,Gold,74404.5,37849.0,23.5,185.0,79.5,1986.0
Cycling Men's Individual Time Trial,Summer,M,Gold,181693.5,91206.5,33.0,186.0,80.0,2006.0
Cycling Men's Keirin,Summer,M,Gold,99557.0,50383.0,28.0,182.0,90.0,2008.0
Cycling Men's Madison,Summer,M,Gold,100979.0,51010.5,30.5,177.0,72.0,2004.0
"Cycling Men's Mountainbike, Cross-Country",Summer,M,Gold,78853.0,39895.0,27.0,180.0,68.0,2006.0
Cycling Men's Omnium,Summer,M,Gold,171901.5,86351.0,23.5,178.5,71.5,2014.0
Cycling Men's Points Race,Summer,M,Gold,121768.0,61312.5,25.0,178.0,71.0,1994.0
"Cycling Men's Road Race, Individual",Summer,M,Gold,140719.0,70682.0,23.0,177.0,72.0,1966.0
"Cycling Men's Road Race, Team",Summer,M,Gold,137069.0,68913.0,21.0,169.0,72.0,1928.0
Cycling Men's Sprint,Summer,M,Gold,151935.0,76252.0,24.0,183.0,90.0,1964.0
"Cycling Men's Tandem Sprint, 2,000 metres",Summer,M,Gold,145825.5,73154.5,23.0,175.0,73.0,1942.0
"Cycling Men's Team Pursuit, 1,980 yards",Summer,M,Gold,138281.5,69693.5,25.5,,,1908.0
"Cycling Men's Team Pursuit, 4,000 metres",Summer,M,Gold,131697.0,66277.0,23.0,181.0,75.0,1972.0
Cycling Men's Team Sprint,Summer,M,Gold,115991.0,58744.0,26.0,179.0,82.0,2008.0
Diving Men's Plain High,Summer,M,Gold,65424.0,33484.0,19.0,168.0,,1920.0
Diving Men's Platform,Summer,M,Gold,139081.5,69878.0,23.5,173.5,66.0,1966.0
Diving Men's Springboard,Summer,M,Gold,142837.0,71665.0,23.5,170.0,69.5,1966.0
Diving Men's Synchronized Platform,Summer,M,Gold,141603.0,71096.5,20.5,163.0,53.0,2008.0
Diving Men's Synchronized Springboard,Summer,M,Gold,194817.0,97771.0,26.0,169.5,65.0,2008.0
"Equestrianism Men's Dressage, Individual",Summer,M,Gold,139669.0,70134.0,43.0,,,1928.0
"Equestrianism Men's Dressage, Team",Summer,M,Gold,138616.5,69640.0,39.5,,,1934.0
"Equestrianism Men's Jumping, Individual",Summer,M,Gold,123672.5,62344.0,31.0,173.0,70.0,1930.0
"Equestrianism Men's Jumping, Team",Summer,M,Gold,170842.0,85857.5,32.5,,,1926.0
"Equestrianism Men's Three-Day Event, Individual",Summer,M,Gold,176591.0,88745.0,32.0,180.0,73.0,1934.0
"Equestrianism Men's Three-Day Event, Team",Summer,M,Gold,163425.0,82035.0,34.0,177.5,71.0,1932.0
"Equestrianism Men's Vaulting, Individual",Summer,M,Gold,26846.0,13956.0,25.0,,,1920.0
"Equestrianism Men's Vaulting, Team",Summer,M,Gold,69481.0,35406.0,25.5,,,1920.0
"Equestrianism Mixed Dressage, Individual",Summer,M,Gold,120818.0,61116.5,47.0,174.0,71.5,1962.0
"Equestrianism Mixed Dressage, Team",Summer,M,Gold,123505.5,62374.0,45.0,183.5,71.0,1976.0
Equestrianism Mixed Four-In-Hand Competition,Summer,M,Gold,167439.0,84123.0,54.0,,,1900.0
Equestrianism Mixed Hacks And Hunter Combined,Summer,M,Gold,166122.0,83439.0,48.0,,,1900.0
Equestrianism Mixed High Jump,Summer,M,Gold,159930.5,80348.0,32.5,,,1900.0
"Equestrianism Mixed Jumping, Individual",Summer,M,Gold,119836.0,60670.0,35.0,176.5,72.0,1984.0
"Equestrianism Mixed Jumping, Team",Summer,M,Gold,176736.5,88828.0,33.5,176.0,72.0,1988.0
Equestrianism Mixed Long Jump,Summer,M,Gold,249157.0,124737.0,30.0,,,1900.0
"Equestrianism Mixed Three-Day Event, Individual",Summer,M,Gold,165127.5,82927.5,32.5,177.5,70.0,1990.0
"Equestrianism Mixed Three-Day Event, Team",Summer,M,Gold,130870.0,65878.0,32.0,180.0,70.0,1992.0
"Fencing Men's Foil, Individual",Summer,M,Gold,80312.5,40788.0,26.0,180.0,75.0,1962.0
"Fencing Men's Foil, Masters, Individual",Summer,M,Gold,175869.5,88298.5,26.0,,,1898.0
"Fencing Men's Foil, Team",Summer,M,Gold,126067.0,63577.0,27.0,178.0,75.0,1960.0
"Fencing Men's Sabre, Individual",Summer,M,Gold,131594.0,66230.0,29.0,180.0,78.0,1960.0
"Fencing Men's Sabre, Individual, Three Hits",Summer,M,Gold,36646.0,18829.0,31.0,,,1906.0
"Fencing Men's Sabre, Masters, Individual",Summer,M,Gold,147827.0,74351.5,35.5,,,1903.0
"Fencing Men's Sabre, Team",Summer,M,Gold,151398.5,75964.5,29.0,179.0,77.0,1956.0
"Fencing Men's Single Sticks, Individual",Summer,M,Gold,249665.0,125020.0,37.0,183.0,,1904.0
"Fencing Men's epee, Individual",Summer,M,Gold,83972.5,42578.0,28.5,183.5,77.5,1962.0
"Fencing Men's epee, Masters and Amateurs, Individual",Summer,M,Gold,11356.0,6211.0,25.0,,,1900.0
"Fencing Men's epee, Masters, Individual",Summer,M,Gold,131419.0,66075.0,32.0,,,1903.0
"Fencing Men's epee, Team",Summer,M,Gold,128747.0,64806.0,30.0,185.0,79.0,1956.0
Figure Skating Men's Singles,Summer,M,Gold,145852.5,73466.5,28.0,,,1914.0
Figure Skating Men's Singles,Winter,M,Gold,118115.0,59556.5,22.0,179.0,70.0,1974.0
Figure Skating Men's Special Figures,Summer,M,Gold,123223.0,62264.0,34.0,,,1908.0
Figure Skating Mixed Ice Dancing,Winter,M,Gold,161393.0,81017.0,29.0,175.0,72.0,1994.0
Figure Skating Mixed Pairs,Summer,M,Gold,68874.0,34968.5,32.0,174.0,73.0,1914.0
Figure Skating Mixed Pairs,Winter,M,Gold,177654.0,89288.0,27.0,178.0,76.0,1976.0
Figure Skating Mixed Team,Winter,M,Gold,190229.0,95546.0,24.0,181.0,74.0,2014.0
Football Men's Football,Summer,M,Gold,133949.5,67439.0,23.0,176.0,73.0,1968.0
Freestyle Skiing Men's Aerials,Winter,M,Gold,109673.0,55363.5,28.5,177.5,75.0,2004.0
Freestyle Skiing Men's Halfpipe,Winter,M,Gold,262050.0,131113.0,23.0,183.0,84.0,2014.0
Freestyle Skiing Men's Moguls,Winter,M,Gold,28363.0,14713.0,22.0,173.0,76.0,2002.0
Freestyle Skiing Men's Ski Cross,Winter,M,Gold,125898.5,63455.5,24.5,182.5,89.5,2012.0
Freestyle Skiing Men's Slopestyle,Winter,M,Gold,41210.0,21248.0,22.0,185.0,79.0,2014.0
Golf Men's Individual,Summer,M,Gold,204265.0,102561.0,36.0,186.0,,1904.0
Golf Men's Team,Summer,M,Gold,131826.0,66372.0,18.5,178.0,,1904.0
Gymnastics Men's Club Swinging,Summer,M,Gold,149501.0,75250.0,22.5,,,1918.0
Gymnastics Men's Floor Exercise,Summer,M,Gold,157576.5,79128.0,22.5,164.5,59.5,1978.0
Gymnastics Men's Horizontal Bar,Summer,M,Gold,169670.0,85286.0,25.0,167.0,64.0,1968.0
"Gymnastics Men's Horizontal Bar, Teams",Summer,M,Gold,159392.5,80034.0,25.0,159.0,66.0,1896.0
Gymnastics Men's Horse Vault,Summer,M,Gold,142792.0,71644.0,25.0,166.0,62.5,1964.0
Gymnastics Men's Individual All-Around,Summer,M,Gold,137538.0,69121.5,26.0,166.5,59.0,1962.0
"Gymnastics Men's Individual All-Around, 4 Events",Summer,M,Gold,93168.0,47181.0,25.0,,,1904.0
