Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Cross Country Skiing Men's 10/10 kilometres Pursuit,Winter,M,Bronze,63237.0,32418.0,24.0,182.0,74.0,2002.0
Cross Country Skiing Men's 10/15 kilometres Pursuit,Winter,M,Bronze,223325.0,112152.0,32.0,183.0,74.0,1994.0
Cross Country Skiing Men's 15 kilometres,Winter,M,Bronze,120046.0,60782.0,28.0,182.0,73.0,1980.0
Cross Country Skiing Men's 18 kilometres,Winter,M,Bronze,171529.0,86197.0,28.5,170.5,65.5,1934.0
Cross Country Skiing Men's 30 kilometres,Winter,M,Bronze,141543.0,71119.5,26.5,179.0,74.0,1982.0
Cross Country Skiing Men's 30 km Skiathlon,Winter,M,Bronze,188896.0,94886.0,29.0,180.0,70.0,2010.0
Cross Country Skiing Men's 4 x 10 kilometres Relay,Winter,M,Bronze,131303.5,66099.5,27.0,176.5,71.0,1988.0
Cross Country Skiing Men's 50 kilometres,Winter,M,Bronze,145507.0,73369.5,28.0,175.5,70.0,1990.0
Cross Country Skiing Men's Sprint,Winter,M,Bronze,141731.0,71407.0,28.5,183.5,80.5,2008.0
Cross Country Skiing Men's Team Sprint,Winter,M,Bronze,175215.5,88022.5,25.0,177.0,77.5,2010.0
Curling Men's Curling,Winter,M,Bronze,165243.0,82989.5,29.5,181.5,79.0,2006.0
"Cycling Men's 1,000 metres Time Trial",Summer,M,Bronze,126157.5,63663.5,22.0,181.5,80.0,1982.0
Cycling Men's 100 kilometres Team Time Trial,Summer,M,Bronze,121607.0,61487.0,23.0,181.0,75.0,1976.0
Cycling Men's BMX,Summer,M,Bronze,196460.0,98637.0,24.0,178.0,69.0,2012.0
"Cycling Men's Individual Pursuit, 4,000 metres",Summer,M,Bronze,116534.5,58792.0,24.0,182.0,75.0,1986.0
Cycling Men's Individual Time Trial,Summer,M,Bronze,73471.0,37338.0,27.0,185.0,69.0,2008.0
Cycling Men's Keirin,Summer,M,Bronze,140453.5,70793.0,29.0,182.0,86.0,2010.0
Cycling Men's Madison,Summer,M,Bronze,150367.0,75426.0,30.0,179.0,77.5,2004.0
"Cycling Men's Mountainbike, Cross-Country",Summer,M,Bronze,111045.0,55986.0,25.5,172.5,66.5,2006.0
Cycling Men's Omnium,Summer,M,Bronze,66237.0,33758.0,25.5,182.5,76.0,2014.0
Cycling Men's Points Race,Summer,M,Bronze,152319.0,76448.0,22.0,178.0,77.0,1996.0
"Cycling Men's Road Race, Individual",Summer,M,Bronze,140189.0,70458.0,25.0,180.0,72.5,1990.0
"Cycling Men's Road Race, Team",Summer,M,Bronze,151389.0,76226.0,22.0,174.5,73.5,1956.0
Cycling Men's Sprint,Summer,M,Bronze,107573.0,54408.0,25.5,177.5,81.5,1986.0
"Cycling Men's Tandem Sprint, 2,000 metres",Summer,M,Bronze,122195.5,61773.0,22.0,173.5,74.0,1966.0
