Event,Season,Sex,Medal,Age,Height,Weight,Year
Weightlifting Men's Light-Heavyweight,Summer,M,Bronze,25.0,172.5,83.5,1982
Weightlifting Men's Lightweight,Summer,M,Bronze,27.5,164.0,67.25,1986
Weightlifting Men's Middle-Heavyweight,Summer,M,Bronze,24.5,175.0,90.0,1986
Weightlifting Men's Middleweight,Summer,M,Bronze,25.0,165.0,77.0,1984
Weightlifting Men's Super-Heavyweight,Summer,M,Bronze,28.0,182.0,137.5,1994
"Weightlifting Men's Unlimited, One Hand",Summer,M,Bronze,21.0,170.0,82.0,1906
"Weightlifting Men's Unlimited, Two Hands",Summer,M,Bronze,25.0,170.0,81.0,1906
"Wrestling Men's Bantamweight, Freestyle",Summer,M,Bronze,25.0,162.5,57.5,1974
"Wrestling Men's Bantamweight, Greco-Roman",Summer,M,Bronze,26.5,162.5,57.0,1978
"Wrestling Men's Featherweight, Freestyle",Summer,M,Bronze,25.0,165.5,62.0,1992
"Wrestling Men's Featherweight, Greco-Roman",Summer,M,Bronze,25.0,165.0,62.0,1990
"Wrestling Men's Flyweight, Freestyle",Summer,M,Bronze,24.5,161.5,52.0,1978
"Wrestling Men's Flyweight, Greco-Roman",Summer,M,Bronze,27.0,161.0,52.75,1974
