Event,Season,Sex,Medal,Age,Height,Weight,Year
Sailing Mixed Three Person Keelboat,Summer,M,Silver,30.0,180.0,83.0,1976
Sailing Mixed Two Person Dinghy,Summer,M,Silver,24.0,177.0,68.0,1980
Sailing Mixed Two Person Heavyweight Dinghy,Summer,M,Silver,28.0,182.0,74.0,1976
Sailing Mixed Two Person Keelboat,Summer,M,Silver,31.5,182.0,86.5,1974
"Shooting Men's Air Pistol, 10 metres",Summer,M,Silver,33.0,174.0,76.5,2002
"Shooting Men's Air Rifle, 10 metres",Summer,M,Silver,24.0,177.0,69.0,2000
Shooting Men's Double Trap,Summer,M,Silver,38.0,180.5,85.0,2006
"Shooting Men's Free Pistol, 50 metres",Summer,M,Silver,35.0,175.0,82.0,1992
"Shooting Men's Free Rifle, Three Positions, 300 metres",Summer,M,Silver,28.0,175.0,79.0,1960
"Shooting Men's Rapid-Fire Pistol, 25 metres",Summer,M,Silver,28.0,178.0,73.0,1992
"Shooting Men's Running Target, 10 metres",Summer,M,Silver,23.0,178.0,70.0,2000
"Shooting Men's Running Target, 50 metres",Summer,M,Silver,30.0,172.0,70.5,1986
Shooting Men's Skeet,Summer,M,Silver,28.0,176.0,78.0,2004
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Summer,M,Silver,30.0,179.0,83.0,1992
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Summer,M,Silver,32.0,176.0,73.0,1990
Shooting Men's Trap,Summer,M,Silver,34.0,178.5,93.0,1998
"Shooting Mixed Free Pistol, 50 metres",Summer,M,Silver,30.5,177.0,72.5,1974
"Shooting Mixed Free Rifle, Three Positions, 300 metres",Summer,M,Silver,26.5,173.5,77.0,1970
"Shooting Mixed Rapid-Fire Pistol, 25 metres",Summer,M,Silver,26.0,176.0,84.0,1974
"Shooting Mixed Running Target, 50 metres",Summer,M,Silver,23.0,187.0,85.0,1976
Shooting Mixed Skeet,Summer,M,Silver,31.0,183.0,85.0,1980
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Summer,M,Silver,29.5,173.5,71.5,1974
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Summer,M,Silver,25.0,175.0,68.0,1972
Shooting Mixed Trap,Summer,M,Silver,29.0,176.0,83.0,1980
"Short Track Speed Skating Men's 1,000 metres",Winter,M,Silver,20.5,173.5,69.5,2004
"Short Track Speed Skating Men's 1,500 metres",Winter,M,Silver,22.5,173.0,66.5,2008
"Short Track Speed Skating Men's 5,000 metres Relay",Winter,M,Silver,24.0,173.0,71.0,2002
Short Track Speed Skating Men's 500 metres,Winter,M,Silver,21.0,175.5,71.5,2004
Skeleton Men's Skeleton,Winter,M,Silver,28.5,181.0,75.0,2008
"Ski Jumping Men's Large Hill, Individual",Winter,M,Silver,24.0,174.0,61.0,1992
"Ski Jumping Men's Large Hill, Team",Winter,M,Silver,24.0,181.0,64.0,2000
"Ski Jumping Men's Normal Hill, Individual",Winter,M,Silver,22.0,175.0,64.0,1986
Snowboarding Men's Boardercross,Winter,M,Silver,24.0,185.0,83.0,2010
Snowboarding Men's Giant Slalom,Winter,M,Silver,26.0,186.0,78.0,1998
Snowboarding Men's Halfpipe,Winter,M,Silver,21.0,165.0,61.0,2006
Snowboarding Men's Parallel Giant Slalom,Winter,M,Silver,27.0,182.0,85.0,2008
Snowboarding Men's Parallel Slalom,Winter,M,Silver,29.0,184.0,77.0,2014
"Speed Skating Men's 1,000 metres",Winter,M,Silver,24.0,182.0,80.0,1994
"Speed Skating Men's 1,500 metres",Winter,M,Silver,23.5,184.0,85.0,1990
"Speed Skating Men's 10,000 metres",Winter,M,Silver,27.0,184.0,78.5,1982
"Speed Skating Men's 5,000 metres",Winter,M,Silver,24.0,185.0,80.0,1992
Speed Skating Men's 500 metres,Winter,M,Silver,26.0,179.0,76.0,1982
Speed Skating Men's Team Pursuit (8 laps),Winter,M,Silver,21.5,181.5,77.5,2010
"Swimming Men's 1,500 metres Freestyle",Summer,M,Silver,20.0,185.0,80.0,1980
Swimming Men's 10 kilometres Open Water,Summer,M,Silver,32.0,185.0,78.0,2012
Swimming Men's 100 metres Backstroke,Summer,M,Silver,21.0,191.0,81.0,1988
Swimming Men's 100 metres Breaststroke,Summer,M,Silver,21.0,185.0,83.0,1992
Swimming Men's 100 metres Butterfly,Summer,M,Silver,21.5,190.0,83.0,1998
Swimming Men's 100 metres Freestyle,Summer,M,Silver,22.0,188.0,84.0,1980
Swimming Men's 100 yard Freestyle,Summer,M,Silver,19.0,183.0,70.0,1904
Swimming Men's 200 metres Backstroke,Summer,M,Silver,21.5,189.0,78.0,1990
Swimming Men's 200 metres Breaststroke,Summer,M,Silver,22.5,184.0,76.5,1986
Swimming Men's 200 metres Butterfly,Summer,M,Silver,20.5,185.5,78.5,1986
