Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Ice Hockey Men's Ice Hockey,Winter,M,Silver,143027.0,71775.0,26.0,181.0,85.0,1988.0
Judo Men's Extra-Lightweight,Summer,M,Silver,117078.0,59289.0,25.0,167.0,60.0,2000.0
Judo Men's Half-Heavyweight,Summer,M,Silver,167621.0,84214.0,26.0,185.0,95.0,1992.0
Judo Men's Half-Lightweight,Summer,M,Silver,114467.0,57785.0,26.0,169.5,66.0,1998.0
Judo Men's Half-Middleweight,Summer,M,Silver,120567.0,60969.0,24.5,178.5,78.0,1994.0
Judo Men's Heavyweight,Summer,M,Silver,185594.0,93306.0,27.0,190.0,120.0,1992.0
Judo Men's Lightweight,Summer,M,Silver,123876.0,62365.5,24.0,174.5,73.0,1996.0
Judo Men's Middleweight,Summer,M,Silver,97208.0,49201.0,25.0,178.0,90.0,1992.0
Judo Men's Open Class,Summer,M,Silver,181915.0,91430.0,28.0,185.0,112.0,1976.0
Luge Men's Singles,Winter,M,Silver,87918.5,44574.0,27.0,181.0,87.0,1990.0
Luge Mixed (Men)'s Doubles,Winter,M,Silver,149486.0,75005.5,26.5,178.0,80.5,1992.0
Luge Mixed Team Relay,Winter,M,Silver,53475.0,27442.0,22.0,185.0,95.0,2014.0
Modern Pentathlon Men's Individual,Summer,M,Silver,164107.5,82402.0,29.5,181.5,73.5,1986.0
Modern Pentathlon Men's Team,Summer,M,Silver,157279.5,78956.5,27.5,180.0,72.0,1974.0
Nordic Combined Men's Individual,Winter,M,Silver,113664.0,57576.0,23.0,176.0,67.0,1984.0
"Nordic Combined Men's Large Hill / 10 km, Individual",Winter,M,Silver,193712.0,97290.5,29.5,186.0,70.5,2012.0
"Nordic Combined Men's Normal Hill / 10 km, Individual",Winter,M,Silver,241964.0,121364.0,27.0,178.0,63.5,2012.0
Nordic Combined Men's Sprint,Winter,M,Silver,81053.0,40713.5,23.0,186.5,71.5,2004.0
Nordic Combined Men's Team,Winter,M,Silver,119797.0,60661.0,23.0,179.0,67.0,2002.0
Rowing Men's Coxed Eights,Summer,M,Silver,143588.0,72071.0,26.0,191.0,90.0,1988.0
Rowing Men's Coxed Fours,Summer,M,Silver,124131.0,62667.5,24.0,188.0,84.0,1972.0
Rowing Men's Coxed Pairs,Summer,M,Silver,186304.5,93648.0,25.0,187.0,87.5,1972.0
Rowing Men's Coxless Fours,Summer,M,Silver,114835.5,58164.0,26.0,190.0,88.0,1984.0
Rowing Men's Coxless Pairs,Summer,M,Silver,118273.0,59859.0,26.0,192.0,90.0,1988.0
Rowing Men's Double Sculls,Summer,M,Silver,98010.0,49642.5,26.0,190.0,89.5,1986.0
Rowing Men's Lightweight Coxless Fours,Summer,M,Silver,76620.0,38998.5,27.5,183.0,72.0,2006.0
Rowing Men's Lightweight Double Sculls,Summer,M,Silver,175069.5,87962.5,26.5,181.0,71.5,2006.0
Rowing Men's Quadruple Sculls,Summer,M,Silver,137068.0,68922.5,26.0,191.0,90.0,1996.0
Rowing Men's Single Sculls,Summer,M,Silver,150566.0,75551.0,28.0,192.0,88.0,1984.0
Rugby Men's Rugby,Summer,M,Silver,52902.0,27182.0,23.0,173.0,76.5,1924.0
Rugby Sevens Men's Rugby Sevens,Summer,M,Silver,147009.5,73812.0,25.0,180.5,90.5,2016.0
Sailing Men's One Person Dinghy,Summer,M,Silver,134623.0,67741.0,28.0,184.0,91.0,2004.0
Sailing Men's One Person Heavyweight Dinghy,Summer,M,Silver,183908.0,92292.5,35.5,187.5,100.0,2014.0
Sailing Men's Skiff,Summer,M,Silver,143479.5,72262.5,25.5,183.5,79.0,2014.0
Sailing Men's Two Person Dinghy,Summer,M,Silver,170176.5,85493.5,27.0,182.0,69.0,2002.0
Sailing Men's Two Person Keelboat,Summer,M,Silver,202539.0,101692.0,35.5,185.0,96.0,2008.0
Sailing Men's Windsurfer,Summer,M,Silver,64899.5,33212.0,28.5,176.0,71.0,2002.0
Sailing Mixed 5.5 metres,Summer,M,Silver,113745.0,57617.0,34.0,178.0,76.0,1964.0
Sailing Mixed 6 metres,Summer,M,Silver,134806.5,67998.0,26.0,168.0,64.5,1950.0
Sailing Mixed 6.5 metres,Summer,M,Silver,162055.0,81357.0,35.0,186.0,81.0,1920.0
Sailing Mixed Multihull,Summer,M,Silver,142970.0,71744.0,31.0,176.0,73.0,1992.0
Sailing Mixed One Person Dinghy,Summer,M,Silver,117011.0,59251.0,26.0,184.0,88.0,1980.0
Sailing Mixed Skiff,Summer,M,Silver,116662.5,58820.5,31.0,182.0,78.0,2004.0
Sailing Mixed Three Person Keelboat,Summer,M,Silver,121499.0,61433.0,30.0,180.0,83.0,1976.0
Sailing Mixed Two Person Dinghy,Summer,M,Silver,120881.5,60925.0,24.0,177.0,68.0,1980.0
Sailing Mixed Two Person Heavyweight Dinghy,Summer,M,Silver,166684.0,83727.0,28.0,182.0,74.0,1976.0
Sailing Mixed Two Person Keelboat,Summer,M,Silver,148847.0,74672.0,31.5,182.0,86.5,1974.0
"Shooting Men's Air Pistol, 10 metres",Summer,M,Silver,216371.5,108543.0,33.0,174.0,76.5,2002.0
"Shooting Men's Air Rifle, 10 metres",Summer,M,Silver,127506.0,64264.0,24.0,177.0,69.0,2000.0
Shooting Men's Double Trap,Summer,M,Silver,126487.5,63664.5,38.0,180.5,85.0,2006.0
"Shooting Men's Free Pistol, 50 metres",Summer,M,Silver,136753.0,68763.0,35.0,175.0,82.0,1992.0
"Shooting Men's Free Rifle, Three Positions, 300 metres",Summer,M,Silver,130032.0,65451.0,28.0,175.0,79.0,1960.0
"Shooting Men's Rapid-Fire Pistol, 25 metres",Summer,M,Silver,140122.0,70349.0,28.0,178.0,73.0,1992.0
"Shooting Men's Running Target, 10 metres",Summer,M,Silver,161525.0,81093.0,23.0,178.0,70.0,2000.0
"Shooting Men's Running Target, 50 metres",Summer,M,Silver,59185.5,30172.0,30.0,172.0,70.5,1986.0
Shooting Men's Skeet,Summer,M,Silver,147503.0,74017.0,28.0,176.0,78.0,2004.0
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Summer,M,Silver,84678.0,42975.0,30.0,179.0,83.0,1992.0
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Summer,M,Silver,115688.0,58570.0,32.0,176.0,73.0,1990.0
Shooting Men's Trap,Summer,M,Silver,184809.5,92881.0,34.0,178.5,93.0,1998.0
"Shooting Mixed Free Pistol, 50 metres",Summer,M,Silver,205674.5,103097.5,30.5,177.0,72.5,1974.0
"Shooting Mixed Free Rifle, Three Positions, 300 metres",Summer,M,Silver,140352.5,70668.0,26.5,173.5,77.0,1970.0
"Shooting Mixed Rapid-Fire Pistol, 25 metres",Summer,M,Silver,232198.5,116376.0,26.0,176.0,84.0,1974.0
"Shooting Mixed Running Target, 50 metres",Summer,M,Silver,115202.0,58370.0,23.0,187.0,85.0,1976.0
Shooting Mixed Skeet,Summer,M,Silver,79227.0,40231.0,31.0,183.0,85.0,1980.0
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Summer,M,Silver,91383.5,46284.5,29.5,173.5,71.5,1974.0
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Summer,M,Silver,91353.0,46319.0,25.0,175.0,68.0,1972.0
Shooting Mixed Trap,Summer,M,Silver,76601.0,38880.0,29.0,176.0,83.0,1980.0
"Short Track Speed Skating Men's 1,000 metres",Winter,M,Silver,134998.0,67926.0,20.5,173.5,69.5,2004.0
"Short Track Speed Skating Men's 1,500 metres",Winter,M,Silver,136551.0,68659.5,22.5,173.0,66.5,2008.0
"Short Track Speed Skating Men's 5,000 metres Relay",Winter,M,Silver,74625.0,37901.0,24.0,173.0,71.0,2002.0
Short Track Speed Skating Men's 500 metres,Winter,M,Silver,229887.0,115267.5,21.0,175.5,71.5,2004.0
Skeleton Men's Skeleton,Winter,M,Silver,119935.5,60564.0,28.5,181.0,75.0,2008.0
"Ski Jumping Men's Large Hill, Individual",Winter,M,Silver,153758.0,77162.0,24.0,174.0,61.0,1992.0
"Ski Jumping Men's Large Hill, Team",Winter,M,Silver,125073.0,63125.5,24.0,181.0,64.0,2000.0
"Ski Jumping Men's Normal Hill, Individual",Winter,M,Silver,105010.0,53161.5,22.0,175.0,64.0,1986.0
Snowboarding Men's Boardercross,Winter,M,Silver,201848.0,101371.0,24.0,185.0,83.0,2010.0
Snowboarding Men's Giant Slalom,Winter,M,Silver,193804.0,97279.0,26.0,186.0,78.0,1998.0
Snowboarding Men's Halfpipe,Winter,M,Silver,114349.0,57907.0,21.0,165.0,61.0,2006.0
Snowboarding Men's Parallel Giant Slalom,Winter,M,Silver,156971.5,79077.5,27.0,182.0,85.0,2008.0
